mes,marca,segmento,subsegmento,division,propulsion,origen,familia,tipo,fuente,unidades,share_mercado
2026-01,AION,AUTOMOVILES,MEDIUM,HB,BEV,CHINA,UT,Real,Desalmacenado real,3.0,0.0005857087075361187
2026-01,AION,SUV,COMPACT,SIN DEFINIR,BEV,CHINA,Y,Real,Desalmacenado real,1.0,0.0001952362358453729
2026-01,AION,SUV,MEDIUM,SIN DEFINIR,BEV,CHINA,V,Real,Desalmacenado real,2.0,0.0003904724716907458
2026-01,ANKAI,BUS,SIN DEFINIR,SIN DEFINIR,ICE,CHINA,HFF6130GZ-5,Real,Desalmacenado real,1.0,0.0001952362358453729
2026-01,AUDI,AUTOMOVILES,MEDIUM,HB,ICE,OTROS ORIGENES,A3,Real,Desalmacenado real,1.0,0.0001952362358453729
2026-01,AUDI,AUTOMOVILES,MEDIUM,SD,ICE,OTROS ORIGENES,S3,Real,Desalmacenado real,1.0,0.0001952362358453729
2026-01,AUDI,AUTOMOVILES,SPORT,SD,ICE,OTROS ORIGENES,A5,Real,Desalmacenado real,1.0,0.0001952362358453729
2026-01,AUDI,SUV,COMPACT,SIN DEFINIR,ICE,OTROS ORIGENES,Q2,Real,Desalmacenado real,3.0,0.0005857087075361187
2026-01,AUDI,SUV,LARGE,LARGE,ICE,OTROS ORIGENES,SQ7,Real,Desalmacenado real,2.0,0.0003904724716907458
2026-01,AUDI,SUV,MEDIUM,SIN DEFINIR,BEV,OTROS ORIGENES,Q4 E-TRON,Real,Desalmacenado real,1.0,0.0001952362358453729
2026-01,AUDI,SUV,MEDIUM,SIN DEFINIR,BEV,OTROS ORIGENES,Q5 E-TRON,Real,Desalmacenado real,1.0,0.0001952362358453729
2026-01,AUDI,SUV,MEDIUM,SIN DEFINIR,BEV,OTROS ORIGENES,Q6 E-TRON,Real,Desalmacenado real,3.0,0.0005857087075361187
2026-01,AUDI,SUV,MEDIUM,SIN DEFINIR,ICE,OTROS ORIGENES,Q5,Real,Desalmacenado real,4.0,0.0007809449433814916
2026-01,AUDI,SUV,SMALL,SIN DEFINIR,ICE,OTROS ORIGENES,Q3,Real,Desalmacenado real,23.0,0.004490433424443577
2026-01,AVATR,SUV,MEDIUM,SIN DEFINIR,BEV,CHINA,11,Real,Desalmacenado real,4.0,0.0007809449433814916
2026-01,B.M.W.,AUTOMOVILES,LARGE,SD,ICE,OTROS ORIGENES,520I,Real,Desalmacenado real,1.0,0.0001952362358453729
2026-01,B.M.W.,AUTOMOVILES,MEDIUM,HB,ICE,OTROS ORIGENES,118,Real,Desalmacenado real,1.0,0.0001952362358453729
2026-01,B.M.W.,AUTOMOVILES,MEDIUM,SD,ICE,OTROS ORIGENES,218,Real,Desalmacenado real,2.0,0.0003904724716907458
2026-01,B.M.W.,AUTOMOVILES,MEDIUM,SD,ICE,OTROS ORIGENES,320,Real,Desalmacenado real,2.0,0.0003904724716907458
2026-01,B.M.W.,AUTOMOVILES,SPORT,SD,ICE,OTROS ORIGENES,420,Real,Desalmacenado real,1.0,0.0001952362358453729
2026-01,B.M.W.,AUTOMOVILES,SPORT,SD,ICE,OTROS ORIGENES,M240,Real,Desalmacenado real,1.0,0.0001952362358453729
2026-01,B.M.W.,SUV,COMPACT,SIN DEFINIR,BEV,OTROS ORIGENES,IX1,Real,Desalmacenado real,13.0,0.0025380710659898475
2026-01,B.M.W.,SUV,COMPACT,SIN DEFINIR,BEV,OTROS ORIGENES,IX2,Real,Desalmacenado real,5.0,0.0009761811792268645
2026-01,B.M.W.,SUV,COMPACT,SIN DEFINIR,ICE,OTROS ORIGENES,X1,Real,Desalmacenado real,18.0,0.003514252245216712
2026-01,B.M.W.,SUV,LARGE,LARGE,ICE,OTROS ORIGENES,X6,Real,Desalmacenado real,8.0,0.0015618898867629833
2026-01,B.M.W.,SUV,LARGE,LARGE,ICE,OTROS ORIGENES,X7,Real,Desalmacenado real,2.0,0.0003904724716907458
2026-01,B.M.W.,SUV,MEDIUM,SIN DEFINIR,BEV,OTROS ORIGENES,IX,Real,Desalmacenado real,1.0,0.0001952362358453729
2026-01,B.M.W.,SUV,MEDIUM,SIN DEFINIR,ICE,OTROS ORIGENES,X4,Real,Desalmacenado real,9.0,0.001757126122608356
2026-01,B.M.W.,SUV,MEDIUM,SIN DEFINIR,ICE,OTROS ORIGENES,X5,Real,Desalmacenado real,11.0,0.002147598594299102
2026-01,B.M.W.,SUV,SMALL,SIN DEFINIR,BEV,OTROS ORIGENES,IX3,Real,Desalmacenado real,1.0,0.0001952362358453729
2026-01,B.M.W.,SUV,SMALL,SIN DEFINIR,ICE,OTROS ORIGENES,X3,Real,Desalmacenado real,25.0,0.004880905896134323
2026-01,BAIC,SUV,COMPACT,SIN DEFINIR,ICE,CHINA,X3,Real,Desalmacenado real,24.0,0.004685669660288949
2026-01,BAIC,SUV,LARGE,SMALL,BEV,CHINA,BJ40 EV,Real,Desalmacenado real,3.0,0.0005857087075361187
2026-01,BAIC,SUV,LARGE,SMALL,ICE,CHINA,BJ41,Real,Desalmacenado real,2.0,0.0003904724716907458
2026-01,BAIC,SUV,MEDIUM,SIN DEFINIR,ICE,CHINA,BJ30,Real,Desalmacenado real,2.0,0.0003904724716907458
2026-01,BAIC,SUV,SMALL,SIN DEFINIR,ICE,CHINA,X5,Real,Desalmacenado real,10.0,0.001952362358453729
2026-01,BYD,AUTOMOVILES,MEDIUM,HB,BEV,CHINA,DOLPHIN,Real,Desalmacenado real,2.0,0.0003904724716907458
2026-01,BYD,AUTOMOVILES,SMALL,HB,BEV,CHINA,SEAGULL,Real,Desalmacenado real,20.0,0.003904724716907458
2026-01,BYD,SUV,COMPACT,SIN DEFINIR,BEV,CHINA,S1 PRO EV,Real,Desalmacenado real,16.0,0.0031237797735259665
