mes,marca,segmento,division,familia,fuente,unidades,share,bajo,alto,metodo,share_mercado,interno
2027-01,AION,AUTOMOVILES,HB,UT,Modelo estadístico,1.8259855182076055,0.002538761080590841,3.9550668298292195,22.768357696043893,Tendencia reciente estacional + Promedio estacional 3 años,0.00034694213407115775,False
2027-01,AION,AUTOMOVILES,SD,S,Modelo estadístico,0.40655085105946476,0.002538761080590841,3.9550668298292195,22.768357696043893,Tendencia reciente estacional + Promedio estacional 3 años,7.72457494698375e-05,False
2027-01,AION,SUV,SIN DEFINIR,I60,Modelo estadístico,0.7626533158127956,0.002538761080590841,3.9550668298292195,22.768357696043893,Tendencia reciente estacional + Promedio estacional 3 años,0.0001449061705616729,False
2027-01,AION,SUV,SIN DEFINIR,LX,Modelo estadístico,0.018960422517180435,0.002538761080590841,3.9550668298292195,22.768357696043893,Tendencia reciente estacional + Promedio estacional 3 años,3.602531008821236e-06,False
2027-01,AION,SUV,SIN DEFINIR,V,Modelo estadístico,5.058558370174074,0.002538761080590841,3.9550668298292195,22.768357696043893,Tendencia reciente estacional + Promedio estacional 3 años,0.0009611396250253136,False
2027-01,AION,SUV,SIN DEFINIR,Y,Modelo estadístico,5.289003785165434,0.002538761080590841,3.9550668298292195,22.768357696043893,Tendencia reciente estacional + Promedio estacional 3 años,0.0010049248704540378,False
2027-01,ANKAI,BUS,SIN DEFINIR,HFF6130GZ-5,Modelo estadístico,0.8190625140172891,0.00016333437386762548,0.25445417813968857,1.46483080929064,Estacional último año + Tendencia reciente estacional,0.00015562406914912752,False
2027-01,ANKAI,BUSETAS,SIN DEFINIR,HFF,Modelo estadístico,0.04057997969787508,0.00016333437386762548,0.25445417813968857,1.46483080929064,Estacional último año + Tendencia reciente estacional,7.710304718497955e-06,False
2027-01,ARCFOX,AUTOMOVILES,SD,ALPHA S,Modelo estadístico,0.5605524917787938,0.00033386534612419655,0.5201197411526228,2.994202834202938,Tendencia armónica regularizada + Promedio estacional 3 años,0.00010650647325370985,False
2027-01,ARCFOX,PASAJEROS,SIN DEFINIR,KAOLA S,Modelo estadístico,0.45357273140822174,0.00033386534612419655,0.5201197411526228,2.994202834202938,Tendencia armónica regularizada + Promedio estacional 3 años,8.618003254796955e-05,False
2027-01,ARCFOX,SUV,SIN DEFINIR,ALPHA T,Modelo estadístico,0.7430360644907645,0.00033386534612419655,0.5201197411526228,2.994202834202938,Tendencia armónica regularizada + Promedio estacional 3 años,0.00014117884032251713,False
2027-01,AUDI,AUTOMOVILES,HB,A3,Modelo estadístico,0.3654120334055874,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,6.942926404447079e-05,False
2027-01,AUDI,AUTOMOVILES,SD,A3,Modelo estadístico,0.035830908699512866,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,6.807968522182131e-06,False
2027-01,AUDI,AUTOMOVILES,SD,A4,Modelo estadístico,0.060721876772833666,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,1.1537319054453511e-05,False
2027-01,AUDI,AUTOMOVILES,SD,A5,Modelo estadístico,0.33411795649382486,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,6.348330570072044e-05,False
2027-01,AUDI,AUTOMOVILES,SD,A6,Modelo estadístico,0.014983691699515835,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,2.8469415133134017e-06,False
2027-01,AUDI,AUTOMOVILES,SD,A6 E-TRON,Modelo estadístico,0.2973142929919343,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,5.64905111633812e-05,False
2027-01,AUDI,AUTOMOVILES,SD,A8,Modelo estadístico,0.04431866914678328,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,8.420665717037954e-06,False
2027-01,AUDI,AUTOMOVILES,SD,E-TRON GT,Modelo estadístico,0.1357485364698849,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,2.5792585138423632e-05,False
2027-01,AUDI,AUTOMOVILES,SD,RS3,Modelo estadístico,0.17513011552829505,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,3.327519052897931e-05,False
2027-01,AUDI,AUTOMOVILES,SD,S3,Modelo estadístico,0.148726809114636,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,2.8258491665627173e-05,False
2027-01,AUDI,SUV,SIN DEFINIR,E-TRON,Modelo estadístico,0.014983691699515835,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,2.8469415133134017e-06,False
2027-01,AUDI,SUV,SIN DEFINIR,Q2,Modelo estadístico,1.3307767777908284,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,0.00025285114841014616,False
2027-01,AUDI,SUV,SIN DEFINIR,Q2 E-TRON,Modelo estadístico,0.0368964859156942,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,7.0104310443178205e-06,False
2027-01,AUDI,SUV,SIN DEFINIR,Q3,Modelo estadístico,9.257792998189936,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,0.001759005439831675,False
2027-01,AUDI,SUV,SIN DEFINIR,Q4 E-TRON,Modelo estadístico,1.0673807968574458,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,0.00020280520728981579,False
2027-01,AUDI,SUV,SIN DEFINIR,Q5,Modelo estadístico,3.441727626501192,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,0.0006539374577308248,False
2027-01,AUDI,SUV,SIN DEFINIR,Q5 E-TRON,Modelo estadístico,0.19597733252829203,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,3.7236217537848026e-05,False
2027-01,AUDI,SUV,SIN DEFINIR,Q6 E-TRON,Modelo estadístico,2.8170701419756177,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,0.0005352508643357373,False
2027-01,AUDI,SUV,SIN DEFINIR,Q7,Modelo estadístico,0.7343282343465382,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,0.00013952432929642062,False
2027-01,AUDI,SUV,SIN DEFINIR,Q8,Modelo estadístico,0.23571266706379101,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,4.478603741555968e-05,False
2027-01,AUDI,SUV,SIN DEFINIR,Q8 E-TRON,Modelo estadístico,1.7659585736486914,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,0.0003355368539967114,False
2027-01,AUDI,SUV,SIN DEFINIR,RSQ3,Modelo estadístico,0.0120055178423734,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,2.28108051204644e-06,False
2027-01,AUDI,SUV,SIN DEFINIR,RSQ8,Modelo estadístico,0.08258816816547802,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,1.5691972924563392e-05,False
2027-01,AUDI,SUV,SIN DEFINIR,SQ5,Modelo estadístico,0.07960999430833558,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,1.5126111923296429e-05,False
2027-01,AUDI,SUV,SIN DEFINIR,SQ7,Modelo estadístico,0.14130462588354692,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,2.6848256992907035e-05,False
2027-01,AUDI,SUV,SIN DEFINIR,SQ8 E-TRON,Modelo estadístico,0.05667812569950988,0.004347849589334824,10.19491180311017,35.57128149436902,Tendencia reciente estacional + Tendencia amortiguada estacional,1.0768995531050858e-05,False
2027-01,AVATR,AUTOMOVILES,SD,12,Modelo estadístico,0.2080209287248353,0.00045658865073556294,0.711307039172207,4.094821603883247,Promedio estacional 3 años + Estacional último año,3.952453303906929e-05,False
2027-01,AVATR,SUV,SIN DEFINIR,11,Modelo estadístico,2.1950433928028916,0.00045658865073556294,0.711307039172207,4.094821603883247,Promedio estacional 3 años + Estacional último año,0.0004170641176964937,False
2027-01,B.M.W.,AUTOMOVILES,HB,118,Modelo estadístico,0.19535321862476746,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,3.7117634226297535e-05,False
2027-01,B.M.W.,AUTOMOVILES,HB,128,Modelo estadístico,0.1626208553233603,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,3.0898397620231806e-05,False
2027-01,B.M.W.,AUTOMOVILES,HB,I3 EV,Modelo estadístico,0.08831576795696727,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,1.6780232209727594e-05,False
2027-01,B.M.W.,AUTOMOVILES,SD,218,Modelo estadístico,1.1715430510829923,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,0.00022259631428947428,False
2027-01,B.M.W.,AUTOMOVILES,SD,220,Modelo estadístico,0.018224931321330157,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,3.462785713727482e-06,False
2027-01,B.M.W.,AUTOMOVILES,SD,320,Modelo estadístico,1.2187317169348837,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,0.0002315622870594536,False
2027-01,B.M.W.,AUTOMOVILES,SD,330,Modelo estadístico,0.012801647018429854,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,2.4323471856225086e-06,False
2027-01,B.M.W.,AUTOMOVILES,SD,340,Modelo estadístico,0.018224931321330157,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,3.462785713727482e-06,False
2027-01,B.M.W.,AUTOMOVILES,SD,420,Modelo estadístico,0.24856968556563153,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,4.72289053311823e-05,False
2027-01,B.M.W.,AUTOMOVILES,SD,425,Modelo estadístico,0.08831576795696727,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,1.6780232209727594e-05,False
2027-01,B.M.W.,AUTOMOVILES,SD,430,Modelo estadístico,0.06119934644246576,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,1.1628039569202728e-05,False
2027-01,B.M.W.,AUTOMOVILES,SD,520I,Modelo estadístico,0.09814596047462888,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,1.8647995089772565e-05,False
2027-01,B.M.W.,AUTOMOVILES,SD,530,Modelo estadístico,0.012801647018429854,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,2.4323471856225086e-06,False
2027-01,B.M.W.,AUTOMOVILES,SD,540I,Modelo estadístico,0.018224931321330157,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,3.462785713727482e-06,False
2027-01,B.M.W.,AUTOMOVILES,SD,I4,Modelo estadístico,0.264646880990327,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,5.028361547806132e-05,False
2027-01,B.M.W.,AUTOMOVILES,SD,I5,Modelo estadístico,0.24736065199348717,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,4.699918571758143e-05,False
2027-01,B.M.W.,AUTOMOVILES,SD,I7,Modelo estadístico,0.034494784230031064,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,6.554101298042402e-06,False
2027-01,B.M.W.,AUTOMOVILES,SD,M135,Modelo estadístico,0.023648215624230456,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,4.4932242418324544e-06,False
2027-01,B.M.W.,AUTOMOVILES,SD,M2,Modelo estadístico,0.3399418001108031,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,6.458985157023777e-05,False
2027-01,B.M.W.,AUTOMOVILES,SD,M240,Modelo estadístico,0.09814596047462888,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,1.8647995089772565e-05,False
2027-01,B.M.W.,AUTOMOVILES,SD,M3,Modelo estadístico,0.023648215624230456,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,4.4932242418324544e-06,False
2027-01,B.M.W.,AUTOMOVILES,SD,M4,Modelo estadístico,0.034494784230031064,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,6.554101298042402e-06,False
2027-01,B.M.W.,AUTOMOVILES,SD,M440,Modelo estadístico,0.1997601268395288,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,3.795495857823754e-05,False
2027-01,B.M.W.,AUTOMOVILES,SD,M5,Modelo estadístico,0.06119934644246576,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,1.1628039569202728e-05,False
2027-01,B.M.W.,AUTOMOVILES,SD,Z4,Modelo estadístico,0.023648215624230456,0.01360467379886434,49.344364808863006,93.86071117980121,Promedio estacional 3 años + Tendencia amortiguada estacional,4.4932242418324544e-06,False
